calc label enthalpy
e2ts_E_D_A_C_B_A-e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.85059679
e2ts_E_D_A_C_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.74263127
e2ts_E_D_A_C_B_A-e2ts_E_B_A_C_B_A e2ts_E_B_A_C_B_A -890.62092043
e2ts_E_D_A_C_B_A e2ts_E_D_A_C_B_A -725.63765376
e2ts_E_D_A_C_A_A-e2ts_E_D_E_C_A_A e2ts_E_D_E_C_A_A -420.83311578
e2ts_E_D_A_C_A_A-e2ts_E_D_D_C_A_A e2ts_E_D_D_C_A_A -404.79655315
e2ts_E_D_A_C_A_A-e2ts_E_D_A_A_A_A e2ts_E_D_A_A_A_A -273.50033962
e2ts_E_D_A_C_A_A-e2ts_D_D_A_C_A_A e2ts_D_D_A_C_A_A -349.57530814
e2ts_E_D_A_C_A_A e2ts_E_D_A_C_A_A -365.62156942
e2ts_E_D_A_B_C_B-e2ts_E_D_E_B_C_B e2ts_E_D_E_B_C_B -3105.32315560
e2ts_E_D_A_B_C_B-e2ts_E_D_A_E_C_B e2ts_E_D_A_E_C_B -2901.13392384
e2ts_E_D_A_B_C_B-e2ts_E_D_A_C_C_B e2ts_E_D_A_C_C_B -2938.03294149
e2ts_E_D_A_A_C_A-e2ts_E_C_A_A_C_A e2ts_E_C_A_A_C_A -2799.66423997
e2ts_E_D_A_A_B_A e2ts_E_D_A_A_B_A -633.52731957
e2ts_E_C_E_E_A_A-e2ts_E_E_E_E_A_A e2ts_E_E_E_E_A_A -399.98418193
e2ts_E_C_E_E_A_A-e2ts_E_A_E_E_A_A e2ts_E_A_E_E_A_A -344.74973987
e2ts_E_C_E_E_A_A-e2ts_C_C_E_E_A_A e2ts_C_C_E_E_A_A -473.71037672
e2ts_E_C_E_E_A_A-e2ts_A_C_E_E_A_A e2ts_A_C_E_E_A_A -381.62468879
e2ts_E_C_E_E_A_A e2ts_E_C_E_E_A_A -436.84800362
e2ts_E_C_E_D_B_B-e2ts_E_C_C_D_B_B e2ts_E_C_C_D_B_B -916.91361931
e2ts_E_C_E_D_B_B-e2ts_E_A_E_D_B_B e2ts_E_A_E_D_B_B -787.92655530
e2ts_E_C_E_D_B_A-e2ts_E_C_C_D_B_A e2ts_E_C_C_D_B_A -817.71533527
e2ts_E_C_E_D_B_A-e2ts_E_A_E_D_B_A e2ts_E_A_E_D_B_A -688.73774025
e2ts_E_C_E_D_B_A e2ts_E_C_E_D_B_A -780.83064558
e2ts_E_C_E_D_A_D-e2ts_E_D_E_D_A_A e2ts_E_D_E_D_A_A -367.88920537
e2ts_E_C_E_D_A_D-e2ts_E_C_E_E_A_A e2ts_E_C_E_E_A_A -436.84172359
e2ts_E_C_E_D_A_D-e2ts_E_C_E_C_A_A e2ts_E_C_E_C_A_A -473.73541520
e2ts_E_C_E_D_A_D-e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.76640000
e2ts_E_C_E_D_A_D-e2ts_E_C_A_D_A_A e2ts_E_C_A_D_A_A -365.58896606
e2ts_E_C_E_D_A_B-e2ts_E_D_E_D_A_A e2ts_E_D_E_D_A_A -367.88922606
e2ts_E_C_E_D_A_B-e2ts_E_C_E_C_A_A e2ts_E_C_E_C_A_A -473.73539665
e2ts_E_C_E_D_A_B-e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.76640885
e2ts_E_C_E_D_A_B-e2ts_E_C_C_D_A_A e2ts_E_C_C_D_A_A -457.69962913
e2ts_E_C_E_D_A_B-e2ts_E_C_A_D_A_A e2ts_E_C_A_D_A_A -365.58897018
e2ts_E_C_E_D_A_A-e2ts_D_C_E_D_A_A e2ts_D_C_E_D_A_A -404.76277381
e2ts_E_C_E_A_B_C-e2ts_E_C_C_A_B_C e2ts_E_C_C_A_B_C -1237.76322005
e2ts_E_C_E_A_B_B-e2ts_E_C_E_E_B_B e2ts_E_C_E_E_B_B -896.05869325
e2ts_E_C_E_A_B_B-e2ts_E_C_E_C_B_B e2ts_E_C_E_C_B_B -932.95055295
e2ts_E_C_E_A_B_B-e2ts_E_C_C_A_B_B e2ts_E_C_C_A_B_B -877.73822810
e2ts_E_C_E_A_B_B e2ts_E_C_E_A_B_B -840.84139504
e2ts_E_C_E_A_B_A-e2ts_E_C_E_A_B_C e2ts_E_C_E_A_B_C -1200.88655571
e2ts_E_C_E_A_B_A e2ts_E_C_E_A_B_A -741.64635209
e2ts_E_C_E_A_A_A-e2ts_A_C_E_A_A_A e2ts_A_C_E_A_A_A -326.40131885
e2ts_E_C_D_E_C_B-e2ts_E_C_E_E_C_B e2ts_E_C_E_E_C_B -3009.26002431
e2ts_E_C_D_E_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2954.04309337
e2ts_E_C_D_E_B_B-e2ts_E_D_D_E_B_B e2ts_E_D_D_E_B_B -827.11069671
e2ts_E_C_D_E_B_A-e2ts_E_D_D_E_B_A e2ts_E_D_D_E_B_A -727.92276669
e2ts_E_C_D_E_B_A-e2ts_E_C_E_E_B_A e2ts_E_C_E_E_B_A -796.87295019
e2ts_E_C_D_E_B_A-e2ts_E_C_D_E_B_B e2ts_E_C_D_E_B_B -880.02238353
e2ts_E_C_D_E_B_A-e2ts_E_C_C_E_B_A e2ts_E_C_C_E_B_A -833.75458494
e2ts_E_C_D_E_B_A e2ts_E_C_D_E_B_A -780.83252591
e2ts_E_C_D_E_A_D-e2ts_E_D_D_E_A_A e2ts_E_D_D_E_A_A -367.89099992
e2ts_E_C_D_E_A_D-e2ts_E_C_C_E_A_A e2ts_E_C_C_E_A_A -473.73807393
e2ts_E_C_D_E_A_D-e2ts_E_C_A_E_A_A e2ts_E_C_A_E_A_A -381.62748496
e2ts_E_C_D_E_A_D-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.58335519
e2ts_E_C_D_E_A_A-e2ts_E_C_B_E_A_A e2ts_E_C_B_E_A_A -585.81643978
e2ts_E_C_D_E_A_A-e2ts_E_A_D_E_A_A e2ts_E_A_D_E_A_A -328.70922684
e2ts_E_C_D_E_A_A-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.58345069
e2ts_E_C_D_D_B_B e2ts_E_C_D_D_B_B -863.98304790
e2ts_E_C_D_D_A_C-e2ts_E_A_D_D_A_A e2ts_E_A_D_D_A_A -312.67108777
e2ts_E_C_D_D_A_C-e2ts_A_C_D_D_A_A e2ts_A_C_D_D_A_A -349.54449581
e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.76631902
e2ts_E_C_D_A_C_A-e2ts_E_C_E_A_C_A e2ts_E_C_E_A_C_A -2854.87939692
e2ts_E_C_D_A_C_A-e2ts_E_C_D_B_C_A e2ts_E_C_D_B_C_A -3042.98423163
e2ts_E_C_D_A_C_A-e2ts_E_C_B_A_C_A e2ts_E_C_B_A_C_A -3003.82380554
e2ts_E_C_D_A_C_A-e2ts_E_B_D_A_C_A e2ts_E_B_D_A_C_A -2950.91974594
e2ts_E_C_D_A_C_A e2ts_E_C_D_A_C_A -2838.84107121
e2ts_E_C_D_A_A_A-e2ts_C_C_D_A_A_A e2ts_C_C_D_A_A_A -402.44754366
e2ts_E_C_D_A_A_A e2ts_E_C_D_A_A_A -365.58813622
e2ts_E_C_C_A_C_C-e2ts_E_C_C_C_C_C e2ts_E_C_C_C_C_C -3443.05737656
e2ts_E_C_C_A_B_B e2ts_E_C_C_A_B_B -877.73820794
e2ts_E_C_B_A_B_B-e2ts_E_C_D_A_B_B e2ts_E_C_D_A_B_B -824.80510447
e2ts_E_C_A_E_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.74265147
e2ts_E_C_A_E_B_A-e2ts_E_C_E_E_B_A e2ts_E_C_E_E_B_A -796.87295289
e2ts_E_C_A_E_B_A-e2ts_E_C_C_E_B_A e2ts_E_C_C_E_B_A -833.75456190
e2ts_E_C_A_E_B_A-e2ts_E_C_B_E_B_A e2ts_E_C_B_E_B_A -945.83246551
e2ts_E_C_A_E_B_A-e2ts_C_C_A_E_B_A e2ts_C_C_A_E_B_A -778.50608459
e2ts_E_C_A_E_A_A-e2ts_E_C_C_E_A_A e2ts_E_C_C_E_A_A -473.73808261
e2ts_E_C_A_D_C_B-e2ts_E_C_C_D_C_B e2ts_E_C_C_D_C_B -3030.11099140
e2ts_E_C_A_D_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2954.04310959
e2ts_E_C_A_D_B_B e2ts_E_C_A_D_B_B -824.80469619
e2ts_E_C_A_D_A_A-e2ts_E_C_C_D_A_A e2ts_E_C_C_D_A_A -457.69965124
e2ts_E_C_A_D_A_A-e2ts_E_B_A_D_A_A e2ts_E_B_A_D_A_A -477.67715431
e2ts_E_C_A_D_A_A-e2ts_D_C_A_D_A_A e2ts_D_C_A_D_A_A -349.54625863
e2ts_E_C_A_D_A_A-e2ts_C_C_A_D_A_A e2ts_C_C_A_D_A_A -402.44770465
e2ts_E_C_A_D_A_A-e2ts_A_C_A_D_A_A e2ts_A_C_A_D_A_A -310.36621194
e2ts_E_C_A_C_B_A-e2ts_E_C_A_C_B_B e2ts_E_C_A_C_B_B -877.73883207
e2ts_E_C_A_C_A_A-e2ts_E_C_D_C_A_A e2ts_E_C_D_C_A_A -457.69980623
e2ts_E_C_A_C_A_A-e2ts_E_B_A_C_A_A e2ts_E_B_A_C_A_A -530.61018091
e2ts_E_C_A_C_A_A e2ts_E_C_A_C_A_A -418.52386417
e2ts_E_B_E_E_B_A-e2ts_E_B_E_E_B_B e2ts_E_B_E_E_B_B -1008.13950806
e2ts_E_B_E_D_B_B-e2ts_E_A_E_D_B_B e2ts_E_A_E_D_B_B -787.92654171
e2ts_E_B_E_D_B_A-e2ts_E_B_E_D_B_B e2ts_E_B_E_D_B_B -992.09737739
e2ts_E_B_E_D_B_A-e2ts_D_B_E_D_B_A e2ts_D_B_E_D_B_A -876.86557805
e2ts_E_B_E_D_B_A-e2ts_B_B_E_D_B_A e2ts_B_B_E_D_B_A -1041.84077610
e2ts_E_B_E_D_A_A-e2ts_E_E_E_D_A_A e2ts_E_E_E_D_A_A -383.94250572
e2ts_E_B_E_A_A_A-e2ts_C_B_E_A_A_A e2ts_C_B_E_A_A_A -530.57059441
e2ts_E_B_D_E_B_A-e2ts_E_B_A_E_B_A e2ts_E_B_A_E_B_A -853.73313819
e2ts_E_B_D_A_B_C-e2ts_E_D_D_A_B_A e2ts_E_D_D_A_B_A -672.70358306
e2ts_E_B_D_A_B_C-e2ts_E_C_D_A_B_A e2ts_E_C_D_A_B_A -725.61247980
e2ts_E_B_D_A_B_C-e2ts_E_B_D_E_B_A e2ts_E_B_D_E_B_A -892.91138097
e2ts_E_B_D_A_B_C-e2ts_E_B_A_A_B_A e2ts_E_B_A_A_B_A -798.51799097
e2ts_E_B_D_A_B_C-e2ts_E_A_D_A_B_A e2ts_E_A_D_A_B_A -633.51974646
e2ts_E_B_D_A_B_B-e2ts_E_C_D_A_B_B e2ts_E_C_D_A_B_B -824.80506114
e2ts_E_B_D_A_B_B-e2ts_E_B_E_A_B_B e2ts_E_B_E_A_B_B -952.91654675
e2ts_E_B_D_A_B_B-e2ts_D_B_D_A_B_B e2ts_D_B_D_A_B_B -920.84220094
e2ts_E_B_D_A_B_A-e2ts_E_B_D_A_B_B e2ts_E_B_D_A_B_B -936.88448269
e2ts_E_B_D_A_B_A e2ts_E_B_D_A_B_A -837.69148799
e2ts_E_B_D_A_A_A-e2ts_E_B_D_E_A_A e2ts_E_B_D_E_A_A -532.89306848
e2ts_E_B_D_A_A_A e2ts_E_B_D_A_A_A -477.67484110
e2ts_E_B_C_A_C_A e2ts_E_B_C_A_C_A -3003.81314043
e2ts_E_B_C_A_B_A e2ts_E_B_C_A_B_A -890.62810765
e2ts_E_B_A_E_C_A e2ts_E_B_A_E_C_A -2966.93322660
e2ts_E_B_A_D_B_D-e2ts_E_B_C_D_B_A e2ts_E_B_C_D_B_A -929.79568546
e2ts_E_B_A_D_B_D-e2ts_E_B_A_E_B_A e2ts_E_B_A_E_B_A -853.73312648
e2ts_E_B_A_D_B_A e2ts_E_B_A_D_B_A -837.69534982
e2ts_E_B_A_C_C_A-e2ts_E_B_A_C_C_B e2ts_E_B_A_C_C_B -3103.02546985
e2ts_E_B_A_C_B_A e2ts_E_B_A_C_B_A -890.62094533
e2ts_E_B_A_A_B_A e2ts_E_B_A_A_B_A -798.51796060
e2ts_E_B_A_A_A_A e2ts_E_B_A_A_A_A -438.50133542
e2ts_E_A_E_D_A_A-e2ts_E_A_E_E_A_A e2ts_E_A_E_E_A_A -344.75284272
e2ts_E_A_E_D_A_A-e2ts_E_A_E_A_A_A e2ts_E_A_E_A_A_A -289.52827183
e2ts_E_A_E_D_A_A-e2ts_B_A_E_D_A_A e2ts_B_A_E_D_A_A -477.66524225
e2ts_E_A_E_A_C_B-e2ts_E_D_E_A_C_B e2ts_E_D_E_A_C_B -2901.13240737
e2ts_E_A_E_A_C_B-e2ts_E_C_E_A_C_B e2ts_E_C_E_A_C_B -2954.03895748
e2ts_E_A_E_A_C_B-e2ts_E_A_E_E_C_B e2ts_E_A_E_E_C_B -2917.17318988
e2ts_E_A_E_A_C_B-e2ts_E_A_E_D_C_B e2ts_E_A_E_D_C_B -2901.12914277
e2ts_E_A_E_A_C_A-e2ts_E_A_E_D_C_A e2ts_E_A_E_D_C_A -2801.93811012
e2ts_E_A_E_A_C_A-e2ts_E_A_C_A_C_A e2ts_E_A_C_A_C_A -2799.65148435
e2ts_E_A_D_D_B_A-e2ts_C_A_D_D_B_A e2ts_C_A_D_D_B_A -709.56950826
e2ts_E_A_D_D_A_A-e2ts_D_A_D_D_A_A e2ts_D_A_D_D_A_A -296.62824850
e2ts_E_A_D_C_C_B-e2ts_E_A_D_E_C_B e2ts_E_A_D_E_C_B -2901.13191994
e2ts_E_A_D_C_C_B e2ts_E_A_D_C_C_B -2938.02689888
e2ts_E_A_D_C_B_A e2ts_E_A_D_C_B_A -725.63318748
e2ts_E_A_D_A_C_B-e2ts_E_B_D_A_C_B e2ts_E_B_D_A_C_B -3050.08345132
e2ts_E_A_D_A_C_A-e2ts_E_A_D_C_C_A e2ts_E_A_D_C_C_A -2838.82975024
e2ts_E_A_D_A_B_B-e2ts_E_A_D_E_B_B e2ts_E_A_D_E_B_B -787.92889083
e2ts_E_A_D_A_B_A e2ts_E_A_D_A_B_A -633.51979875
e2ts_E_A_C_D_C_A-e2ts_E_C_C_D_C_A e2ts_E_C_C_D_C_A -2930.91202704
e2ts_E_A_C_A_B_A e2ts_E_A_C_A_B_A -686.45455487
e2ts_E_A_C_A_A_A-e2ts_E_A_C_D_A_A e2ts_E_A_C_D_A_A -365.61353362
e2ts_E_A_C_A_A_A e2ts_E_A_C_A_A_A -326.43734809
e2ts_E_A_B_D_A_A-e2ts_E_E_B_D_A_A e2ts_E_E_B_D_A_A -532.92231340
e2ts_E_A_B_A_A_A-e2ts_E_A_B_E_A_A e2ts_E_A_B_E_A_A -493.73544424
e2ts_E_A_A_E_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2954.04311636
e2ts_E_A_A_E_C_B-e2ts_E_A_E_E_C_B e2ts_E_A_E_E_C_B -2917.16543053
e2ts_E_A_A_E_C_B-e2ts_E_A_C_E_C_B e2ts_E_A_C_E_C_B -2954.06170400
e2ts_E_A_A_E_C_A-e2ts_E_A_D_E_C_A e2ts_E_A_D_E_C_A -2801.94185683
e2ts_E_A_A_E_C_A e2ts_E_A_A_E_C_A -2762.75948019
e2ts_E_A_A_E_B_A-e2ts_E_A_D_E_B_A e2ts_E_A_D_E_B_A -688.73969723
e2ts_E_A_A_D_C_B-e2ts_E_A_E_D_C_B e2ts_E_A_E_D_C_B -2901.13084022
e2ts_E_A_A_D_C_B-e2ts_E_A_C_D_C_B e2ts_E_A_C_D_C_B -2938.02579123
e2ts_E_A_A_D_C_A-e2ts_E_D_A_D_C_A e2ts_E_D_A_D_C_A -2785.90644355
e2ts_E_A_A_D_C_A-e2ts_E_A_E_D_C_A e2ts_E_A_E_D_C_A -2801.94013289
e2ts_E_A_A_D_A_A-e2ts_E_D_A_D_A_A e2ts_E_D_A_D_A_A -312.67544095
e2ts_E_A_A_C_C_A-e2ts_E_A_E_C_C_A e2ts_E_A_E_C_C_A -2854.86659338
e2ts_E_A_A_C_C_A e2ts_E_A_A_C_C_A -2799.65206111
e2ts_E_A_A_C_B_A-e2ts_D_A_A_C_B_A e2ts_D_A_A_C_B_A -670.41410529
e2ts_E_A_A_B_B_A-e2ts_E_C_A_B_B_A e2ts_E_C_A_B_B_A -890.61509201
e2ts_E_A_A_B_B_A-e2ts_E_B_A_B_B_A e2ts_E_B_A_B_B_A -1002.70417271
e2ts_E_A_A_A_C_B-e2ts_C_A_A_A_C_B e2ts_C_A_A_A_C_B -2843.60581191
e2ts_E_A_A_A_C_B-e2ts_A_A_A_A_C_B e2ts_A_A_A_A_C_B -2751.51517513
e2ts_E_A_A_A_C_A e2ts_E_A_A_A_C_A -2707.54432016
e2ts_D_E_E_E_A_D-e2ts_D_E_E_E_A_C e2ts_D_E_E_E_A_C -843.14794913
e2ts_D_E_E_E_A_D-e2ts_A_E_E_E_A_D e2ts_A_E_E_E_A_D -2917.16470959
e2ts_D_E_E_E_A_D e2ts_D_E_E_E_A_D -2956.34966191
e2ts_D_E_E_A_A_A-e2ts_D_E_E_D_A_A e2ts_D_E_E_D_A_A -367.89101707
e2ts_D_E_E_A_A_A-e2ts_D_E_E_C_A_A e2ts_D_E_E_C_A_A -420.83520173
e2ts_D_E_D_E_B_A-e2ts_D_E_D_E_B_B e2ts_D_E_D_E_B_B -827.10942733
e2ts_D_E_D_E_B_A-e2ts_A_E_D_E_B_A e2ts_A_E_D_E_B_A -688.73691423
e2ts_D_E_D_E_A_A-e2ts_D_E_D_D_A_A e2ts_D_E_D_D_A_A -351.85198001
e2ts_D_E_D_E_A_A-e2ts_D_E_C_E_A_A e2ts_D_E_C_E_A_A -420.83312767
e2ts_D_E_D_E_A_A-e2ts_D_C_D_E_A_A e2ts_D_C_D_E_A_A -404.76421104
e2ts_D_E_D_E_A_A-e2ts_D_A_D_E_A_A e2ts_D_A_D_E_A_A -312.66618064
e2ts_D_E_D_E_A_A-e2ts_C_E_D_E_A_A e2ts_C_E_D_E_A_A -420.80340294
e2ts_D_E_D_E_A_A e2ts_D_E_D_E_A_A -367.88985450
e2ts_D_E_D_D_B_A e2ts_D_E_D_D_B_A -711.88161564
e2ts_D_E_D_C_C_B-e2ts_D_E_D_E_C_B e2ts_D_E_D_E_C_B -2940.31308790
e2ts_D_E_D_C_B_A e2ts_D_E_D_C_B_A -764.81516567
e2ts_D_E_D_B_B_A e2ts_D_E_D_B_B_A -876.89016283
e2ts_D_E_D_B_A_A e2ts_D_E_D_B_A_A -516.87419199
e2ts_D_E_D_A_B_A-e2ts_D_E_D_D_B_A e2ts_D_E_D_D_B_A -711.88158406
e2ts_D_E_D_A_B_A-e2ts_D_D_D_A_B_A e2ts_D_D_D_A_B_A -656.66236768
e2ts_D_E_D_A_B_A e2ts_D_E_D_A_B_A -672.70405334
e2ts_D_E_D_A_A_A-e2ts_D_E_D_C_A_A e2ts_D_E_D_C_A_A -404.79780545
e2ts_D_E_B_A_C_B-e2ts_D_E_C_A_C_B e2ts_D_E_C_A_C_B -2938.03294686
e2ts_D_E_A_E_B_B e2ts_D_E_A_E_B_B -787.92990822
e2ts_D_E_A_E_B_A-e2ts_D_E_E_E_B_A e2ts_D_E_E_E_B_A -743.96016688
e2ts_D_E_A_E_B_A-e2ts_D_E_C_E_B_A e2ts_D_E_C_E_B_A -780.85051059
e2ts_D_E_A_E_B_A e2ts_D_E_A_E_B_A -688.74158370
e2ts_D_E_A_D_B_A-e2ts_D_E_D_D_B_A e2ts_D_E_D_D_B_A -711.88159279
e2ts_D_E_A_D_B_A e2ts_D_E_A_D_B_A -672.70360101
e2ts_D_E_A_D_A_A-e2ts_E_E_A_D_A_A e2ts_E_E_A_D_A_A -328.72292167
e2ts_D_E_A_D_A_A-e2ts_D_E_E_D_A_A e2ts_D_E_E_D_A_A -367.89098299
e2ts_D_E_A_D_A_A-e2ts_D_E_C_D_A_A e2ts_D_E_C_D_A_A -404.79657533
e2ts_D_E_A_D_A_A e2ts_D_E_A_D_A_A -312.67452575
e2ts_D_E_A_C_C_B-e2ts_D_D_A_C_C_B e2ts_D_D_A_C_C_B -2921.99132083
e2ts_D_E_A_C_C_A e2ts_D_E_A_C_C_A -2838.83502548
e2ts_D_E_A_C_B_A-e2ts_D_E_E_C_B_A e2ts_D_E_E_C_B_A -780.85335995
e2ts_D_E_A_A_B_A e2ts_D_E_A_A_B_A -633.52730395
e2ts_D_E_A_A_A_A-e2ts_A_E_A_A_A_A e2ts_A_E_A_A_A_A -234.31662851
e2ts_D_D_E_E_A_A e2ts_D_D_E_E_A_A -367.88987555
e2ts_D_D_E_D_B_C-e2ts_D_D_E_E_B_A e2ts_D_D_E_E_B_A -727.92427838
e2ts_D_D_E_D_B_C-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.83934815
e2ts_D_D_E_D_B_B-e2ts_D_D_E_E_B_B e2ts_D_D_E_E_B_B -827.11217400
e2ts_D_D_E_D_B_A-e2ts_D_D_E_D_B_B e2ts_D_D_E_D_B_B -811.06840984
e2ts_D_D_E_D_A_C-e2ts_D_D_E_E_A_C e2ts_D_D_E_E_A_C -827.07649108
e2ts_D_D_E_D_A_C-e2ts_D_D_E_A_A_C e2ts_D_D_E_A_A_C -771.85852854
e2ts_D_D_E_D_A_C e2ts_D_D_E_D_A_C -811.03934582
e2ts_D_D_E_A_C_C-e2ts_D_D_E_D_C_C e2ts_D_D_E_D_C_C -3284.31296361
e2ts_D_D_E_A_C_B-e2ts_D_D_E_D_C_B e2ts_D_D_E_D_C_B -2924.27093290
e2ts_D_D_E_A_C_B-e2ts_D_D_E_A_C_C e2ts_D_D_E_A_C_C -3245.13193403
e2ts_D_D_E_A_C_A-e2ts_D_D_E_E_C_A e2ts_D_D_E_E_C_A -2841.12544815
e2ts_D_D_E_A_C_A-e2ts_D_D_E_D_C_A e2ts_D_D_E_D_C_A -2825.08031364
e2ts_D_D_E_A_C_A-e2ts_D_D_E_A_C_C e2ts_D_D_E_A_C_C -3245.13288994
e2ts_D_D_E_A_C_A e2ts_D_D_E_A_C_A -2785.90066178
e2ts_D_D_E_A_B_B-e2ts_D_D_E_E_B_B e2ts_D_D_E_E_B_B -827.11217061
